name,edition_year,date_start,date_end,event_type,competitive,terrain,bike_type,start_city,province,region,country,distances_km,elevation_gain_m,start_time,participant_limit,registration_fee,registration_deadline,registration_url,website,email,phone,instagram,facebook,organizer,circuit,first_edition,description,image_url,source
Trail dei Papi Gravel Bikepacking,2026,2026-05-29,2026-06-03,bikepacking,non-competitive,gravel/MTB,gravel/MTB/e-bike,Bracciano,Roma,Lazio,Italia,600/350,,,,,,,traildeipapi.it,,,https://www.instagram.com/trail_dei_papi/,,,,,Long-distance gravel bikepacking route around Lake Bracciano.,https://www.traildeipapi.it/wp-content/uploads/2025/11/trail_dei_papi-2025-12.jpg,battistrada.com
Monferrando,2026,2026-05-29,2026-06-03,bikepacking,non-competitive,gravel/road,gravel/road,Borgoratto Alessandrino,Alessandria,Piemonte,Italia,420/270/120/80/50,,,450,,,,monferrando.cc,,,https://www.instagram.com/monferrando/,,,,,Bikepacking routes through the Monferrato hills.,https://www.monferrando.cc/wp-content/uploads/2025/10/Monferrando-100.png,battistrada.com
Abruzzo Gravel,2026,2026-06-19,2026-06-26,bikepacking,non-competitive,gravel/MTB/road,gravel/MTB/road/e-bike,Popoli Terme,Pescara,Abruzzo,Italia,,,,,59-79 EUR,,,abruzzogravel.com,,,https://www.instagram.com/abruzzogravel/,,,,,,https://www.abruzzogravel.com/wp-content/uploads/2026/04/Copertina-Sito_EN_3240x1560-scaled.webp,battistrada.com
Salento Trail,2026,2026-05-29,2026-06-02,bikepacking,non-competitive,gravel/MTB,gravel/MTB,Muro Leccese,Lecce,Puglia,Italia,600/400/300,,,,,,,salentotrail.it,info@salentotrail.it,,,,,,,Bikepacking adventure across the Salento peninsula.,https://www.salentotrail.it/wp-content/uploads/2026/05/home-copia.png,battistrada.com
Basilicata Bike Trail,2026,2026-05-30,2026-06-02,trail/bikepacking,non-competitive,gravel/MTB,gravel/MTB,Basilicata,Potenza,Basilicata,Italia,,,,,,,,basilicatabiketrail.it,info@basilicatabiketrail.it,,https://instagram.com/basilicata_bike_trail,https://www.facebook.com/BasilicataBikeTrail,,,,Journey through the southern Italian wilderness.,https://www.basilicatabiketrail.it/wp-content/uploads/2026/02/pollino-sybaris-locandina.webp,fieradelcicloturismo.it
Marca Bianca - La Prosecco Unbound,2026,2026-05-30,2026-06-02,gravel,non-competitive,gravel,gravel,Pieve di Soligo,Treviso,Veneto,Italia,345,,,,,,,proseccounbound.marcabianca.bike,info@marcabianca.bike,,,,,,,Authentic gravel adventure of dust and views in the Marca Trevigiana / Prosecco hills.,https://proseccounbound.marcabianca.bike/wp-content/uploads/2025/12/home-con-scritta-bianca2025_it.png,fieradelcicloturismo.it / battistrada.com
Rally di Romagna,2026,2026-05-30,2026-06-03,MTB stage race,competitive,MTB,MTB,Salsomaggiore Terme,Parma,Emilia-Romagna,Italia,250 (5 stages),7200,,,,,,rallydiromagna.com,contatti@rallydiromagna.com,,,,Romagna Bike Grandi Eventi ASD,,,Multi-stage MTB race.,,battistrada.com
PanSec Gravel,2026,2026-05-31,2026-06-02,bikepacking,non-competitive,gravel/road,gravel/road,Modena,Modena,Emilia-Romagna,Italia,350/220/210,,,,70 EUR,,,pansec.net,info@pansec.net,+39 353 480 0244,https://www.instagram.com/pan_sec_gravel/,,,,,,https://www.pansec.net/assets/img/home/pansec-gravel-modena-gallery-home-01_900.jpg,battistrada.com
Sicilia No Stop,2026,2026-05-31,2026-06-03,randonnee/ultra,non-competitive (brevet),road,road,Palermo,Palermo,Sicilia,Italia,1000,7750,,,,,,gsmediterraneo.com/sicilia-no-stop/,,,https://www.instagram.com/gsmediterraneo/,https://www.facebook.com/SiciliaNoStop/,GS Mediterraneo,,,"1000 km brevet around Sicily, 75h time limit; ACP/Audax randonnee, start Velodromo Borsellino Palermo.",https://www.gsmediterraneo.com/wp-content/uploads/2025/10/sicilianostop-cover-1024x576.jpg,battistrada.com
Granfondo Cicloturistica Chianti Classic,2026,2026-06-02,,granfondo/cicloturistica,mixed,road,road,Castelnuovo Berardenga,Siena,Toscana,Italia,195/123/94/83/63,,,,20 EUR (25 on-site),,,battistrada.com,,,,https://www.facebook.com/groups/chianticlassic/,Bulletta Bike,,1997,Granfondo with cyclotourism options through the Chianti region.,,battistrada.com
Randonnee Bari,2026,2026-06-02,,randonnee,non-competitive,gravel/MTB/fat,gravel/MTB/fat,Bari,Bari,Puglia,Italia,200/100,1870/800,,,15 EUR (20 on-site),,,battistrada.com,,+39 347 3447671,,,Mountain Bike Club Bari ASD,,,,,battistrada.com
Ciclostorica La Leopoldina,2026,2026-06-02,,ciclostorica,non-competitive,mixed road,vintage,Follonica,Grosseto,Toscana,Italia,85/45/15,1019/407/75,09:00,400,45 EUR,,,ciclostoricalaleopoldina.it,info@ciclostoricalaleopoldina.it,,https://www.instagram.com/laleopoldinaciclostorica/,https://www.facebook.com/p/La-Leopoldina-Ciclostorica-100077747020102/,ASD Free Bike Pedale Follonichese 1956 / Team Catarzi,Giro d'Italia d'Epoca / Coppa Toscana Vintage,2022,Non-competitive vintage-bike ride among Tuscan hills; Giro degli Assi 130 km option added in 2026.,https://www.ciclostoricalaleopoldina.it/wp-content/uploads/2025/04/Logo-Ciclostorica-La-Leopoldina-Colorato-con-bg-bianco-150x150.png,battistrada.com / ciclostoricalaleopoldina.it
Cicloturistica Priverno,2026,2026-06-02,,cicloturistica,non-competitive,road,road,Priverno,Latina,Lazio,Italia,45/25/18,,,800,20 EUR (walk 10),,,battistrada.com,,,,https://www.facebook.com/privernobike/,Pisolo Bike Priverno ASD,,,"Pisolo Day: non-competitive ride with social/charity aims, in the Castello di San Martino park.",,battistrada.com
La SpoletoNorcia MTB,2026,2026-05-30,2026-06-02,MTB/cicloturistica,mixed,MTB,MTB/e-bike,Spoleto,Perugia,Umbria,Italia,85/55/45/10,,,,,,,laspoletonorciainmtb.it,info@laspoletonorciainmtb.it,,https://www.instagram.com/laspoletonorciainmtb/,,,,,MTB marathon and cyclotourism rides on the old Spoleto-Norcia railway.,https://laspoletonorciainmtb.it/wp-content/uploads/2023/04/logo-web.png,battistrada.com
Rio Marano Bad Race,2026,2026-06-02,,MTB race,competitive,MTB,MTB,Cesena,Forli-Cesena,Emilia-Romagna,Italia,,,,,,,,battistrada.com,,,https://www.instagram.com/riomaranocesena/,https://www.facebook.com/riomaranocesena/,,Coppa Emilia-Romagna,,,,battistrada.com
Pollino Bike Festival,2026,2026-06-05,2026-06-07,festival/bike days,non-competitive,MTB/gravel,MTB/gravel,Morano Calabro,Cosenza,Calabria,Italia,,,,,free (activities vary),,,catasta.org,info@catastapollino.com,+39 0981 1907009,https://www.instagram.com/catasta_org/,https://www.facebook.com/CatastaPollino,,,,Cycling festival in the Pollino national park.,https://www.catasta.org/wp-content/uploads/2026/03/Screenshot-2026-03-17-alle-14.02.43.png,fieradelcicloturismo.it
Nova Eroica Gran Sasso,2026,2026-06-05,2026-06-07,ciclostorica,mixed (timed+free),white roads/gravel,gravel/vintage,Castel del Monte,L'Aquila,Abruzzo,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,Gravel Eroica event in the Gran Sasso plateau.,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
BAM! Bicycle Adventure Meeting,2026,2026-06-05,2026-06-07,festival/gathering,non-competitive,gravel/touring,gravel/touring,Piazzola sul Brenta,Padova,Veneto,Italia,,,,,free,,,bameurope.it,,,https://www.instagram.com/bameurope/,https://www.facebook.com/bicycleadventuremeeting/,,,,Italy's main gathering for bike travel and adventure cycling.,https://bameurope.it/wp-content/uploads/2026/01/bam-2026-logo-frozen_water.png,battistrada.com
Belvi Trail,2026,2026-06-05,2026-06-08,bikepacking,non-competitive,MTB/road,MTB/road,Belvi,Nuoro,Sardegna,Italia,200/160/100,,,,,,,belvitrail.com,,,https://www.instagram.com/belvitrail/,,,,,Bikepacking routes through inland Sardinia (Barbagia).,https://www.belvitrail.com/wp-content/uploads/2026/03/belvitrail-2026.jpeg,battistrada.com
Brenta Bike Experience,2026,2026-06-05,,cicloturistica/gathering,non-competitive,road,road,Madonna di Campiglio,Trento,Trentino-Alto Adige,Italia,137,2900,,,,,,campigliodolomiti.it,,,,,,,,,,battistrada.com
Trofeo COCIF Memorial Sandro Cappelli,2026,2026-06-05,,MTB/gathering,non-competitive,MTB,MTB,Longiano,Forli-Cesena,Emilia-Romagna,Italia,,,,,,,,battistrada.com,,,,,ASD Teambike Cocif,,,,,battistrada.com
La Matta Ciclostorica Pugliese,2026,2026-06-06,,ciclostorica,non-competitive,mixed road,vintage,Noci,Bari,Puglia,Italia,75/35,,12:00,,,,,lamatta.org,info@lamattaciclostoricapugliese.com,+39 393 008 0870,https://www.instagram.com/lamattaciclostoricapugliese/,https://www.facebook.com/lamattaciclostoricapugliese/,,,,Vintage-bike ride through the trulli area of Puglia.,,battistrada.com
Sellaronda Bike Day,2026,2026-06-06,,cicloturistica/bike day,non-competitive,road,road,Arabba,Belluno,Veneto,Italia,53,,,,free,,,sellarondabikeday.com,info@sellarondabikeday.com,,https://www.instagram.com/sellarondabikeday/,https://www.facebook.com/sellarondabikeday/,,Dolomiti,,Car-free days on the 4 Sella Ronda Dolomite passes (~53 km). Second date: 2026-09-12.,https://www.sellarondabikeday.com/img/EnduPix_Sellaronda_banner_979x250.jpg,battistrada.com
La Stelvio Santini Gravel,2026,2026-06-06,,gravel,non-competitive,gravel,gravel,Bormio,Sondrio,Lombardia,Italia,70/44,2000/1400,,,80 EUR (140 combo),2026-05-15,,lastelviosantini.com,,,https://www.instagram.com/la_stelvio_santini/,https://www.facebook.com/lastelviosantini/,,,,Gravel gathering in the Stelvio area.,https://cdn.prod.website-files.com/631070a35ccb63cb9dfb67f2/690e2fa1b662cf772f49c27a_Homepage_003_LSS_Gravel.avif,battistrada.com
Radrennen auf das Stilfserjoch,2026,2026-06-06,,climb time trial,competitive,road,road,Prato allo Stelvio,Bolzano,Trentino-Alto Adige,Italia,24,1840,,,,,,dynamicbiketeam.it,,,,,ARSV Vinschgau,Sudtirol Berg Cup,,Stelvio Pass climbing time trial.,,battistrada.com
GeoGravel Tuscany,2026,2026-06-06,2026-06-07,gravel,non-competitive,gravel,gravel,Pomarance,Pisa,Toscana,Italia,229/130/77/48,,,,,,,geograveltuscany.it,info@atcommunication.it,,https://www.instagram.com/geograveltuscany/,https://www.facebook.com/profile.php?id=100086383668055,,,,Geothermal-area gravel gathering in Tuscany.,https://geogravel-production.s3.amazonaws.com/uploads/slide/image/3/thumb_pbgg5.jpg,fieradelcicloturismo.it / battistrada.com
TAP - Tutti a Pinerolo!,2026,2026-06-06,2026-06-07,trail/gravel,non-competitive,gravel,gravel,Pinerolo,Torino,Piemonte,Italia,90/50,2000/1000,,,,,,tuttiapinerologravelevent.com,,,https://www.instagram.com/tap_tuttiapinerolo/,https://www.facebook.com/people/TAP-Tutti-a-Pinerolo/61581710488004/,"Elena Zappia, Andrea Collino, Valeria Bertaccini",,,Adventure-focused gravel gathering.,https://tuttiapinerologravelevent.com/wp-content/uploads/2025/10/WhatsApp-Image-2025-09-15-at-20.45.59-1024x682.jpeg,fieradelcicloturismo.it
La Diabolica,2026,2026-06-06,2026-06-07,gravel,non-competitive,gravel,gravel,Montemarzo (Asti),Asti,Piemonte,Italia,60,,,,,,,ladiabolica.it,,,https://www.instagram.com/la_diabolica_bike/,,,,,Gravel version of a classic Piedmont event in the Monferrato.,https://ladiabolica.it/wp-content/uploads/2026/04/la-diabolica-logo-0426-1024x364.webp,fieradelcicloturismo.it
La Canavesana d'epoca,2026,2026-06-07,,ciclostorica,non-competitive,mixed road,vintage,Albiano d'Ivrea,Torino,Piemonte,Italia,67,,,,,,,lacanavesanadepoca.it,,,,https://www.facebook.com/p/La-Canavesana-Ciclismo-DEpoca-Eroico-100066624379969/,Team Fuori Onda Bike,Giro d'Italia d'Epoca,,Heroic vintage cycling in the Canavese.,,battistrada.com
Ciclostorica Un Abbraccio ai Sibillini,2026,2026-06-06,2026-06-07,ciclostorica,non-competitive,mixed road,vintage,Norcia,Perugia,Umbria,Italia,98/53,,,,,,,francesconeisentieri.eu,,,,,ASD Francesco nei sentieri,,,Vintage ride embracing the Sibillini mountains.,https://www.francesconeisentieri.eu/wp-content/uploads/2022/04/sibillini26-2.jpg,battistrada.com
La 100 Volte Bottecchia,2026,2026-06-07,,ciclostorica,non-competitive,mixed road,vintage,Pordenone,Pordenone,Friuli-Venezia Giulia,Italia,,,,,,,,battistrada.com,,,,,Associazione Culturale Ottavio Bottecchia,,,Vintage event honoring Ottavio Bottecchia.,,battistrada.com
Trei'nBici Ciclostorica Vintage,2026,2026-06-07,,ciclostorica,non-competitive,mixed road,vintage,Treviglio,Bergamo,Lombardia,Italia,,,,,,,,treinbici.it,info@treinbici.it,,https://www.instagram.com/treinbici/,https://www.facebook.com/ciclostoricatreinbici,Aribi / Team Gero Bike / Pro Loco Treviglio,,,,,battistrada.com
Rando MareVettaMare,2026,2026-06-07,,randonnee,non-competitive,road,road,Marina di Grosseto,Grosseto,Toscana,Italia,123,,,200,,,,marevettamare.weebly.com,info@marevettamare.it,+39 334 6799904,,,,,2016,Sea-to-summit-to-sea randonnee on Monte Amiata.,https://uploads.editmysite.com/uploads/1/3/2/8/132895782/mvm-1400-26-1_orig.jpg,battistrada.com
La Chianina Ciclostorica,2026,2026-06-12,2026-06-14,ciclostorica,non-competitive,mixed road,vintage,Marciano della Chiana,Arezzo,Toscana,Italia,,,,,,,,lachianina.org,,,https://www.instagram.com/_la_chianina_ciclostorica_/,https://www.facebook.com/lachianinaciclostorica/,,,,Vintage cycling in the Valdichiana.,https://www.lachianina.org/wp-content/uploads/2021/03/slider_2-scaled.jpg,battistrada.com
Bike Night Emilia Romagna,2026,2026-06-13,,night ride/pedalata,non-competitive,road,any,Emilia-Romagna,,Emilia-Romagna,Italia,100,,night,,,,,witoor.com/bike-night/,,,http://instagram.com/witoor,https://www.facebook.com/witoor.bikenight/,Witoor,Bike Night,,Inaugural 100 km night pedal.,https://witoor.com/web/wp-content/uploads/2017/11/witoor-logo-viola.png,bikeitalia.it
Nova Eroica Svizzera (ref.),2026,2026-06-13,,ciclostorica,mixed (timed+free),white roads/gravel,gravel/vintage,Valposchiavo,,Grigioni,Svizzera,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,"Cross-border Eroica gravel event (reference, not Italy).",https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
L'Ambrosiana Ciclostorica di Milano,2026,2026-06-14,,ciclostorica,non-competitive,mixed road,vintage,Milano,Milano,Lombardia,Italia,70,,,,,,,asd-teampoliziamilano.it/ambrosiana/,,,,https://www.facebook.com/ambrosianaciclostorica/,ASD Team Polizia Milano,,2017,Vintage ride starting from Milan.,,battistrada.com
Ciclostorica Larianese,2026,2026-06-14,,ciclostorica,non-competitive,mixed road,vintage,Lariano,Roma,Lazio,Italia,35/25,,,,,,,battistrada.com,,,,https://www.facebook.com/p/Asd-Culture-Sport-Life-Lariano-100057491407784/,ASD Culture Sport Life Lariano,,,"Vintage + modern bikes ride in the Castelli Romani (Lariano, RM).",,battistrada.com
Ciclostorica Oriese,2026,2026-06-14,,ciclostorica,non-competitive,mixed road,vintage,Orio Litta,Lodi,Lombardia,Italia,,,09:00,,,,,battistrada.com,,,,,,,,,,battistrada.com
Bike Night Witoor (Milano-Mare),2026,2026-06-14,2026-09-06,night ride/series,non-competitive,road,any,multiple,,,Italia,,,night,,,,,witoor.com/bike-night/,,,http://instagram.com/witoor,https://www.facebook.com/witoor.bikenight/,Witoor,Bike Night,,Series of night rides across Italian cities throughout summer.,https://witoor.com/web/wp-content/uploads/2017/11/witoor-logo-viola.png,fieradelcicloturismo.it
Pedalata Ecologica Solidale,2026,2026-06-14,,pedalata/community,non-competitive,road,any,Monselice,Padova,Veneto,Italia,63,,10:00,,,,https://www.lamigliorvitapossibile.it/pedalata-2026/,lamigliorvitapossibile.it,,+39 391 7662986,,,Fondazione La Miglior Vita Possibile,,,Charity ride 'La pedalata della VITA' on the 63 km Colli Euganei loop; Veneto stage of the Giro d'Italia delle Cure Palliative Pediatriche.,https://www.lamigliorvitapossibile.it/wp-content/uploads/2026/03/pedalata-banner.jpg,fieradelcicloturismo.it
Abruzzo Trail MAGS Experience,2026,2026-06-19,,trail/MTB,non-competitive,MTB,MTB,Roseto degli Abruzzi,Teramo,Abruzzo,Italia,470/330/300/200,,,,,,,abruzzotrail.it,,,https://www.instagram.com/abruzzotrail_/,https://www.facebook.com/abruzzotrail,,,,,https://abruzzotrail.it/wp-content/uploads/2025/10/Progetto-senza-titolo-98.webp,fieradelcicloturismo.it
Criterium Ducale del Moro,2026,2026-06-19,2026-06-21,ciclostorica,non-competitive,mixed road,vintage,Vigevano,Pavia,Lombardia,Italia,,,,,,,,laducaleciclostorica.com,,,https://www.instagram.com/criteriumducale/,https://www.facebook.com/criteriumducale/,,,,,,battistrada.com
Appennino Bike Tour,2026,2026-06-19,2026-07-19,cycling route/festival,non-competitive,road,any,Appennino,,multi-region,Italia,,,,,,,,viviappennino.com,info@viviappennino.com,+39 0534 527982,https://www.instagram.com/vivi_appennino/,https://www.facebook.com/viviappennino/,,,,Festival along the cycling route connecting Italy's Apennine ridge.,https://viviappennino.com/wp-content/uploads/2026/01/ABT_Festival_2026.jpg,fieradelcicloturismo.it
Chase the Sun Italy,2026,2026-06-20,,randonnee/challenge,non-competitive,road,road,Cesenatico,Forli-Cesena,Emilia-Romagna,Italia,280,2500,dawn,,~200 EUR/team,,,turbolento.net,info@turbolento.net,,,,Turbolento,,,"Coast-to-coast solstice ride from Cesenatico (Adriatic) to Tirrenia (Tyrrhenian), dawn to dusk; a ride, not a race (e-bikes allowed).",https://turbolento.net/wp-content/uploads/2024/11/logoMenuCHASE-03.png,fieradelcicloturismo.it
Ciclostorica L'Aglianica,2026,2026-06-21,,ciclostorica,non-competitive,mixed road,vintage,Taurasi,Avellino,Campania,Italia,65/40,,,,,,,aglianica.blogspot.com,,,,,,Ciclostoriche del Sud - Giro delle Regioni,,Vintage ride through the Aglianico wine hills.,,battistrada.com
Ciclostorica Tra Borghi e Castelli,2026,2026-06-21,,ciclostorica,non-competitive,mixed road,vintage,Brignano Gera d'Adda,Bergamo,Lombardia,Italia,105/70/30,,,,,,,traborghiecastelli.it,,,https://www.instagram.com/traborghiecastelli/,,ASD GREST BARBERA,,,,https://traborghiecastelli.it/wp-content/uploads/2026/04/locandina-a5-715x1024.jpg,battistrada.com
Monte Grappa Bike Day,2026,2026-06-27,,bike day/festival,non-competitive,road,road,Bassano del Grappa,Vicenza,Veneto,Italia,,,,,free,,,montegrappabikeday.it,info@montegrappabikeday.it,,https://www.instagram.com/montegrappabikeday,https://www.facebook.com/montegrappabikeday,,,,Car-free day freeing the Monte Grappa climb for cyclists.,https://montegrappabikeday.it/wp-content/uploads/2026/05/MGBD_newsletter-1024x517.jpg,fieradelcicloturismo.it
Bike Night Roma,2026,2026-06-27,,night ride/pedalata,non-competitive,road,any,Roma,Roma,Lazio,Italia,,,00:00,,,,,witoor.com/bike-night/bike-night-roma/,,,http://instagram.com/witoor,https://www.facebook.com/witoor.bikenight/,Witoor,Bike Night,,Night ride from the Colosseum to the Appian Way.,https://witoor.com/web/wp-content/uploads/2017/11/witoor-logo-viola.png,bikeitalia.it
Ciclostorica La Favolosa Gubbio,2026,2026-06-27,2026-06-28,ciclostorica,non-competitive,mixed road,vintage,Gubbio,Perugia,Umbria,Italia,68/32,,,,,,,lafavolosagubbio.it,,,https://www.instagram.com/lafavolosagubbio/,https://www.facebook.com/LaFavolosaCiclostorica/,,,,,,battistrada.com
La Mitica,2026,2026-06-28,,ciclostorica,non-competitive,mixed road,vintage,Castellania Coppi,Alessandria,Piemonte,Italia,98/71/55,,,,,,,lamitica.it,,,https://www.instagram.com/lamiticaciclostorica/,https://www.facebook.com/lamiticaciclostorica,,,,Vintage ride from the birthplace of Fausto Coppi.,https://www.lamitica.it/wp-content/uploads/2026/02/Poster-LaMITICA-2026-scaled.jpg,battistrada.com
Le Vie del Latte Gravel,2026,2026-06-28,,gravel,non-competitive,gravel,gravel,Soresina,Cremona,Lombardia,Italia,106/99/62/48/34/10,,,,15 EUR (free for family route),,,leviedellatte.it,info@ilbiker.it,,https://www.instagram.com/leviedellatte_gravel/,https://www.facebook.com/leviedellattegravel,,,,Gravel event combining sport and local dairy flavors.,https://leviedellatte.it/wp-content/uploads/2026/01/le-vie-del-latte-logo-no-gravel-1.png,fieradelcicloturismo.it / battistrada.com
Ciclostorica La Tre Leoni,2026,2026-07-05,,ciclostorica,non-competitive,mixed road,vintage,Somma Lombardo,Varese,Lombardia,Italia,57,,,,,,,battistrada.com,latreleoniciclostorica@gmail.com,,,,Velo Club Sommese,Ciclostoriche di Lombardia,,,,battistrada.com
La Rampistorica,2026,2026-07-05,,ciclostorica,non-competitive,MTB,vintage MTB,Caprese Michelangelo,Arezzo,Toscana,Italia,35,,,,,,,battistrada.com,,,https://www.instagram.com/larampistorica/,,Polisportiva Michelangelo,,,Vintage hill-climb ride in Michelangelo's birthplace.,,battistrada.com
Ciclostorica La Cortonese,2026,2026-07-12,,ciclostorica,non-competitive,mixed road,vintage,Cortona,Arezzo,Toscana,Italia,73/59,,,,,,,polisportivavaldiloreto.it,,,,https://www.facebook.com/Lacortonese/,ASD Polisportiva Val di Loreto,Coppa Toscana Vintage,,,,battistrada.com
La Valganna Ciclostorica,2026,2026-07-12,,ciclostorica,non-competitive,mixed road,vintage,Varese,Varese,Lombardia,Italia,40,600,,,40 EUR,,,lavalganna.com,,,,https://www.facebook.com/people/La-Valganna-Ciclostorica/,ASD Ganna,Ciclostoriche di Lombardia,,,https://lavalganna.com/cdn/shop/files/copertina_1.png?v=1776097471&width=3840,battistrada.com
Ciclostorica La Ghisallo,2026,2026-07-18,2026-07-19,ciclostorica,non-competitive,mixed road,vintage,Magreglio,Como,Lombardia,Italia,50,,,,,,,laghisallo.it,,,,,,,,Vintage ride to the cyclists' sanctuary of Madonna del Ghisallo.,,battistrada.com
Ciclostorica La Felliniana,2026,2026-07-19,,ciclostorica,non-competitive,mixed road,vintage,Rocca di Cambio,L'Aquila,Abruzzo,Italia,60/25,,08:30,,,,,battistrada.com,,,,,,Giro delle Regioni Ciclostoriche,,,,battistrada.com
Sanvido Classic,2026,2026-07-26,,ciclostorica,non-competitive,mixed road,vintage,Cesiomaggiore,Belluno,Veneto,Italia,,,,,,,,sanvidoclassic.it,,,,,ACSI Ciclismo Belluno,,,,,battistrada.com
